"","Name","Description"
"9517","ENSG00000197321.10","SVIL"
"9520","ENSG00000107968.5","MAP3K8"
"9537","ENSG00000229644.4","NAMPTL"
"9561","ENSG00000165507.8","C10orf10"
"9649","ENSG00000122877.9","EGR2"
"9669","ENSG00000165732.8","DDX21"
"9671","ENSG00000122862.4","SRGN"
"9714","ENSG00000122884.8","P4HA1"
"9794","ENSG00000107789.11","MINPP1"
"9809","ENSG00000138135.5","CH25H"
"9814","ENSG00000185745.8","IFIT1"
"9835","ENSG00000138119.12","MYOF"
"9852","ENSG00000107438.4","PDLIM1"
"9868","ENSG00000155640.5","C10orf12"
"9906","ENSG00000107554.11","DNMBP"
"9942","ENSG00000148840.6","PPRC1"
"9947","ENSG00000077150.13","NFKB2"
"9982","ENSG00000148841.11","ITPRIP"
"9991","ENSG00000138166.5","DUSP5"
"10000","ENSG00000197142.6","ACSL5"
"10045","ENSG00000151929.5","BAG3"
"10143","ENSG00000185201.12","IFITM2"
"10145","ENSG00000142089.11","IFITM3"
"10157","ENSG00000185507.15","IRF7"
"10225","ENSG00000110713.11","NUP98"
"10282","ENSG00000132256.14","TRIM5"
"10283","ENSG00000132274.11","TRIM22"
"10364","ENSG00000255823.1","MTRNR2L8"
"10370","ENSG00000236287.3","ZBED5"
"10475","ENSG00000085063.10","CD59"
"10489","ENSG00000026508.12","CD44"
"10506","ENSG00000187479.4","C11orf96"
"10531","ENSG00000175224.12","ATG13"
"10628","ENSG00000134802.13","SLC43A3"
"10634","ENSG00000149131.11","SERPING1"
"10674","ENSG00000110048.7","OSBP"
"10708","ENSG00000167987.6","VPS37C"
"10768","ENSG00000168003.12","SLC3A2"
"10791","ENSG00000168439.12","STIP1"
"10792","ENSG00000149781.8","FERMT3"
"10846","ENSG00000126391.9","FRMD8"
"10852","ENSG00000173442.7","EHBP1L1"
"10857","ENSG00000173039.14","RELA"
"10869","ENSG00000175592.4","FOSL1"
"10902","ENSG00000173933.15","RBM4"
"10918","ENSG00000175505.9","CLCF1"
"10981","ENSG00000137496.13","IL18BP"
"11000","ENSG00000054967.8","RELT"
"11029","ENSG00000149257.9","SERPINH1"
"11096","ENSG00000110172.7","CHORDC1"
"11136","ENSG00000023445.9","BIRC3"
"11154","ENSG00000196954.8","CASP4"
"11203","ENSG00000149300.5","C11orf52"
"11236","ENSG00000109917.6","ZNF259"
"11259","ENSG00000149573.4","MPZL2"
"11268","ENSG00000172425.6","TTC36"
"11377","ENSG00000110060.4","PUS3"
"11433","ENSG00000171823.6","FBXL14"
"11439","ENSG00000004478.5","FKBP4"
"11446","ENSG00000197905.4","TEAD4"
"11469","ENSG00000067182.3","TNFRSF1A"
"11471","ENSG00000111321.6","LTBR"
"11483","ENSG00000111653.15","ING4"
"11505","ENSG00000182326.10","C1S"
"11506","ENSG00000159403.11","C1R"
"11507","ENSG00000139178.6","C1RL"
"11545","ENSG00000110852.4","CLEC2B"
"11552","ENSG00000150048.6","CLEC1A"
"11566","ENSG00000060138.8","YBX3"
"11588","ENSG00000139083.6","ETV6"
"11605","ENSG00000134531.5","EMP1"
"11695","ENSG00000139160.9","METTL20"
"11729","ENSG00000177119.11","ANO6"
"11741","ENSG00000061273.13","HDAC7"
"11749","ENSG00000177981.6","ASB8"
"11780","ENSG00000167553.10","TUBA1C"
"11830","ENSG00000123358.15","NR4A1"
"11867","ENSG00000139651.9","ZNF740"
"11902","ENSG00000161638.6","ITGA5"
"11931","ENSG00000135404.7","CD63"
"11940","ENSG00000123374.6","CDK2"
"11987","ENSG00000182199.6","SHMT2"
"11997","ENSG00000175197.6","DDIT3"
"12036","ENSG00000135677.6","GNS"
"12046","ENSG00000090376.4","IRAK3"
"12128","ENSG00000257594.2","GALNT4"
"12145","ENSG00000120833.9","SOCS2"
